User,Twitter ID Number,Twitter Screename,# of Followers
935,831295526251290624,USER UNAVAILABLE,USER UNAVAILABLE
938,831274344202526721,USER UNAVAILABLE,USER UNAVAILABLE
945,831209454200815616,USER UNAVAILABLE,USER UNAVAILABLE
969,830921890420113409,USER UNAVAILABLE,USER UNAVAILABLE
978,830870543276634112,USER UNAVAILABLE,USER UNAVAILABLE
980,830856791370113024,USER UNAVAILABLE,USER UNAVAILABLE
989,830765013984038912,USER UNAVAILABLE,USER UNAVAILABLE
994,830660433543647232,USER UNAVAILABLE,USER UNAVAILABLE
1017,830411900139606016,USER UNAVAILABLE,USER UNAVAILABLE
1019,830308468972216320,USER UNAVAILABLE,USER UNAVAILABLE
1030,830206550002298880,USER UNAVAILABLE,USER UNAVAILABLE
1032,830198013452652544,USER UNAVAILABLE,USER UNAVAILABLE
1034,830191632288989186,USER UNAVAILABLE,USER UNAVAILABLE
1045,830109697550213120,USER UNAVAILABLE,USER UNAVAILABLE
1046,830106386398904320,USER UNAVAILABLE,USER UNAVAILABLE
1048,830099864717553666,USER UNAVAILABLE,USER UNAVAILABLE
1058,829928177325662209,USER UNAVAILABLE,USER UNAVAILABLE
1059,829924944565850112,USER UNAVAILABLE,USER UNAVAILABLE
1061,829921022497476608,USER UNAVAILABLE,USER UNAVAILABLE
1062,829920563737067520,USER UNAVAILABLE,USER UNAVAILABLE
1063,829917716995833856,USER UNAVAILABLE,USER UNAVAILABLE
1064,829916586177921024,USER UNAVAILABLE,USER UNAVAILABLE
1065,829915640882425857,USER UNAVAILABLE,USER UNAVAILABLE
1066,829915005407596544,USER UNAVAILABLE,USER UNAVAILABLE
1067,829913400578809860,USER UNAVAILABLE,USER UNAVAILABLE
1068,829912931202658304,USER UNAVAILABLE,USER UNAVAILABLE
1069,829912515853348865,USER UNAVAILABLE,USER UNAVAILABLE
1070,829912091117092865,USER UNAVAILABLE,USER UNAVAILABLE
1071,829904679723216897,USER UNAVAILABLE,USER UNAVAILABLE
1072,829903737862897664,USER UNAVAILABLE,USER UNAVAILABLE
1073,829903332865081344,USER UNAVAILABLE,USER UNAVAILABLE
1074,829902807662747648,USER UNAVAILABLE,USER UNAVAILABLE
1075,829902504930455552,USER UNAVAILABLE,USER UNAVAILABLE
1077,829902098691153921,USER UNAVAILABLE,USER UNAVAILABLE
1078,829901669429297152,USER UNAVAILABLE,USER UNAVAILABLE
1079,829899665239920640,USER UNAVAILABLE,USER UNAVAILABLE
1080,829899205112115201,USER UNAVAILABLE,USER UNAVAILABLE
1081,829898836743163904,USER UNAVAILABLE,USER UNAVAILABLE
1082,829897783545098244,USER UNAVAILABLE,USER UNAVAILABLE
1083,829897459979653121,USER UNAVAILABLE,USER UNAVAILABLE
1084,829897132320681984,USER UNAVAILABLE,USER UNAVAILABLE
1085,829896562147020801,USER UNAVAILABLE,USER UNAVAILABLE
1086,829896201973665792,USER UNAVAILABLE,USER UNAVAILABLE
1088,829894600051523584,USER UNAVAILABLE,USER UNAVAILABLE
1089,829892428232585217,USER UNAVAILABLE,USER UNAVAILABLE
1091,829889760713908225,USER UNAVAILABLE,USER UNAVAILABLE
1092,829889344878047232,USER UNAVAILABLE,USER UNAVAILABLE
1093,829888903511437312,USER UNAVAILABLE,USER UNAVAILABLE
1094,829888182602891265,USER UNAVAILABLE,USER UNAVAILABLE
1095,829886750151540736,USER UNAVAILABLE,USER UNAVAILABLE
1096,829885979284602880,USER UNAVAILABLE,USER UNAVAILABLE
1097,829885655777964033,USER UNAVAILABLE,USER UNAVAILABLE
1098,829885353377091586,USER UNAVAILABLE,USER UNAVAILABLE
1099,829884732599046144,USER UNAVAILABLE,USER UNAVAILABLE
1100,829883937971396612,USER UNAVAILABLE,USER UNAVAILABLE
1101,829883531417501697,USER UNAVAILABLE,USER UNAVAILABLE
1102,829883116412076032,USER UNAVAILABLE,USER UNAVAILABLE
1103,829882539296829440,USER UNAVAILABLE,USER UNAVAILABLE
1104,829881956301156352,USER UNAVAILABLE,USER UNAVAILABLE
1105,829881604738781184,USER UNAVAILABLE,USER UNAVAILABLE
1106,829881280846245889,USER UNAVAILABLE,USER UNAVAILABLE
1107,829880869703802882,USER UNAVAILABLE,USER UNAVAILABLE
1108,829880526060261376,USER UNAVAILABLE,USER UNAVAILABLE
1109,829880001348698112,USER UNAVAILABLE,USER UNAVAILABLE
1110,829879610208899072,USER UNAVAILABLE,USER UNAVAILABLE
1111,829879283631923200,USER UNAVAILABLE,USER UNAVAILABLE
1127,829870730196054017,USER UNAVAILABLE,USER UNAVAILABLE
1148,829755140110434304,USER UNAVAILABLE,USER UNAVAILABLE
1173,829437212282454016,USER UNAVAILABLE,USER UNAVAILABLE
1180,829406713652641796,USER UNAVAILABLE,USER UNAVAILABLE
1181,829401841750462477,USER UNAVAILABLE,USER UNAVAILABLE
1192,829221937092104194,USER UNAVAILABLE,USER UNAVAILABLE
1198,829183258990694402,USER UNAVAILABLE,USER UNAVAILABLE
1199,829175879393800192,USER UNAVAILABLE,USER UNAVAILABLE
1205,829148884882460672,USER UNAVAILABLE,USER UNAVAILABLE
1213,829109796364226562,USER UNAVAILABLE,USER UNAVAILABLE
1217,829098138879348737,USER UNAVAILABLE,USER UNAVAILABLE
1218,829091660785016832,USER UNAVAILABLE,USER UNAVAILABLE
1257,828784884751663104,USER UNAVAILABLE,USER UNAVAILABLE
1261,828750028168638465,USER UNAVAILABLE,USER UNAVAILABLE
1266,828744031681314822,USER UNAVAILABLE,USER UNAVAILABLE
1284,828651274400849920,USER UNAVAILABLE,USER UNAVAILABLE
1297,828466722042634241,USER UNAVAILABLE,USER UNAVAILABLE
1315,828413243404218371,USER UNAVAILABLE,USER UNAVAILABLE
1318,828404882881273857,USER UNAVAILABLE,USER UNAVAILABLE
1320,828404263873368064,USER UNAVAILABLE,USER UNAVAILABLE
1321,828403704864845827,USER UNAVAILABLE,USER UNAVAILABLE
1325,828400127811399681,USER UNAVAILABLE,USER UNAVAILABLE
1329,828352616161742848,USER UNAVAILABLE,USER UNAVAILABLE
1331,828349479724122112,USER UNAVAILABLE,USER UNAVAILABLE
1345,828270369035411456,USER UNAVAILABLE,USER UNAVAILABLE
1348,828254319333945344,USER UNAVAILABLE,USER UNAVAILABLE
1349,828241255972888578,xwmohvifk1588,USER UNAVAILABLE
1350,828237935631794176,USER UNAVAILABLE,USER UNAVAILABLE
1351,828168828085473280,USER UNAVAILABLE,USER UNAVAILABLE
1355,828100280805892097,USER UNAVAILABLE,USER UNAVAILABLE
1359,828073759298854913,USER UNAVAILABLE,USER UNAVAILABLE
1373,828023954619113475,USER UNAVAILABLE,USER UNAVAILABLE
1375,828014536024285184,USER UNAVAILABLE,USER UNAVAILABLE
1376,828014147627515904,USER UNAVAILABLE,USER UNAVAILABLE
1378,828012871602696192,USER UNAVAILABLE,USER UNAVAILABLE
1388,827960682469552128,USER UNAVAILABLE,USER UNAVAILABLE
1412,827836239302770690,USER UNAVAILABLE,USER UNAVAILABLE
1414,827775030448762881,USER UNAVAILABLE,USER UNAVAILABLE
1421,827727096223059968,USER UNAVAILABLE,USER UNAVAILABLE
1426,827693046233960448,USER UNAVAILABLE,USER UNAVAILABLE
1430,827629765955842048,USER UNAVAILABLE,USER UNAVAILABLE
1434,827584828526694400,USER UNAVAILABLE,USER UNAVAILABLE
1435,827584294004596737,USER UNAVAILABLE,USER UNAVAILABLE
1453,827316008973172736,USER UNAVAILABLE,USER UNAVAILABLE
1464,827228174857678848,USER UNAVAILABLE,USER UNAVAILABLE
1466,827220025824145408,USER UNAVAILABLE,USER UNAVAILABLE
1470,827192862789996544,USER UNAVAILABLE,USER UNAVAILABLE
1476,827168836176736259,USER UNAVAILABLE,USER UNAVAILABLE
1484,827062609564282880,USER UNAVAILABLE,USER UNAVAILABLE
1486,827010410494689280,USER UNAVAILABLE,USER UNAVAILABLE
1489,827005657652068352,USER UNAVAILABLE,USER UNAVAILABLE
1492,826987013924651009,USER UNAVAILABLE,USER UNAVAILABLE
1501,826920218760978434,USER UNAVAILABLE,USER UNAVAILABLE
1502,826906902130982914,USER UNAVAILABLE,USER UNAVAILABLE
1506,826897271191109632,USER UNAVAILABLE,USER UNAVAILABLE
1557,826455832833449984,USER UNAVAILABLE,USER UNAVAILABLE
1637,823727375439527936,USER UNAVAILABLE,USER UNAVAILABLE
1658,3321973285,USER UNAVAILABLE,USER UNAVAILABLE
1918,2689039099,USER UNAVAILABLE,USER UNAVAILABLE
2121,821290659797762048,USER UNAVAILABLE,USER UNAVAILABLE
2190,732945673293701120,USER UNAVAILABLE,USER UNAVAILABLE
3153,811224276854509568,USER UNAVAILABLE,USER UNAVAILABLE
4084,790843695452987392,USER UNAVAILABLE,USER UNAVAILABLE
6322,143120527,USER UNAVAILABLE,USER UNAVAILABLE
6358,277018219,USER UNAVAILABLE,USER UNAVAILABLE
6414,2827956461,USER UNAVAILABLE,USER UNAVAILABLE
7919,2200815785,USER UNAVAILABLE,USER UNAVAILABLE
8542,761742441074466816,USER UNAVAILABLE,USER UNAVAILABLE
8627,3592404568,USER UNAVAILABLE,USER UNAVAILABLE
8869,495422943,USER UNAVAILABLE,USER UNAVAILABLE
8879,172835600,USER UNAVAILABLE,USER UNAVAILABLE
9116,1906215840,USER UNAVAILABLE,USER UNAVAILABLE
10425,4352107762,USER UNAVAILABLE,USER UNAVAILABLE
10811,730258709633339392,MikaLusco,USER UNAVAILABLE
11446,716411096052207616,USER UNAVAILABLE,USER UNAVAILABLE
11627,1654653901,USER UNAVAILABLE,USER UNAVAILABLE
11910,713111285970374656,USER UNAVAILABLE,USER UNAVAILABLE
12658,418267695,USER UNAVAILABLE,USER UNAVAILABLE
15092,154554974,USER UNAVAILABLE,USER UNAVAILABLE
15231,3932170517,USER UNAVAILABLE,USER UNAVAILABLE
15395,4215423327,USER UNAVAILABLE,USER UNAVAILABLE
15791,109501059,USER UNAVAILABLE,USER UNAVAILABLE
15835,95565285,LorieTuma,USER UNAVAILABLE
15866,2770685337,USER UNAVAILABLE,USER UNAVAILABLE
16076,4014466961,USER UNAVAILABLE,USER UNAVAILABLE
17373,3493089445,USER UNAVAILABLE,USER UNAVAILABLE
18276,1520565325,USER UNAVAILABLE,USER UNAVAILABLE
18540,160404307,USER UNAVAILABLE,USER UNAVAILABLE
18665,3398061981,USER UNAVAILABLE,USER UNAVAILABLE
19278,1853893238,USER UNAVAILABLE,USER UNAVAILABLE
19772,287450437,USER UNAVAILABLE,USER UNAVAILABLE
21227,882863340,USER UNAVAILABLE,USER UNAVAILABLE
21343,3130786991,USER UNAVAILABLE,USER UNAVAILABLE
22056,353884785,USER UNAVAILABLE,USER UNAVAILABLE
22194,3064062364,USER UNAVAILABLE,USER UNAVAILABLE
24200,2567538360,USER UNAVAILABLE,USER UNAVAILABLE
24792,2908323910,USER UNAVAILABLE,USER UNAVAILABLE
27133,496294305,USER UNAVAILABLE,USER UNAVAILABLE
28318,448153191,USER UNAVAILABLE,USER UNAVAILABLE
28554,1149157308,USER UNAVAILABLE,USER UNAVAILABLE
29465,16309156,USER UNAVAILABLE,USER UNAVAILABLE
30040,2302646082,USER UNAVAILABLE,USER UNAVAILABLE
30297,133407057,USER UNAVAILABLE,USER UNAVAILABLE
30300,2342596333,USER UNAVAILABLE,USER UNAVAILABLE
31457,405163428,USER UNAVAILABLE,USER UNAVAILABLE
31765,37531498,USER UNAVAILABLE,USER UNAVAILABLE
32106,202365163,USER UNAVAILABLE,USER UNAVAILABLE
32218,152764640,USER UNAVAILABLE,USER UNAVAILABLE
32388,432106910,USER UNAVAILABLE,USER UNAVAILABLE
32695,2208211278,USER UNAVAILABLE,USER UNAVAILABLE
32751,275758220,USER UNAVAILABLE,USER UNAVAILABLE
33243,1950243912,USER UNAVAILABLE,USER UNAVAILABLE
33276,1424547414,USER UNAVAILABLE,USER UNAVAILABLE
33438,1906326324,USER UNAVAILABLE,USER UNAVAILABLE
34042,369719893,USER UNAVAILABLE,USER UNAVAILABLE
34089,475513348,USER UNAVAILABLE,USER UNAVAILABLE
34164,169163813,USER UNAVAILABLE,USER UNAVAILABLE
34187,337522435,USER UNAVAILABLE,USER UNAVAILABLE
34363,228758828,Josiewagner,USER UNAVAILABLE
34817,312144136,USER UNAVAILABLE,USER UNAVAILABLE
35178,85969580,USER UNAVAILABLE,USER UNAVAILABLE
39164,385400550,USER UNAVAILABLE,USER UNAVAILABLE
39746,475004159,USER UNAVAILABLE,USER UNAVAILABLE
39995,127290552,USER UNAVAILABLE,USER UNAVAILABLE
40279,479797493,USER UNAVAILABLE,USER UNAVAILABLE
40363,378168374,USER UNAVAILABLE,USER UNAVAILABLE
40403,416765255,USER UNAVAILABLE,USER UNAVAILABLE
40884,202664417,USER UNAVAILABLE,USER UNAVAILABLE
41893,300458301,USER UNAVAILABLE,USER UNAVAILABLE
42562,229862963,ALS8900,USER UNAVAILABLE
42784,15633455,USER UNAVAILABLE,USER UNAVAILABLE
42889,224893595,USER UNAVAILABLE,USER UNAVAILABLE
43739,159586178,USER UNAVAILABLE,USER UNAVAILABLE
44001,70478070,USER UNAVAILABLE,USER UNAVAILABLE
45794,34965275,USER UNAVAILABLE,USER UNAVAILABLE
46185,17904962,USER UNAVAILABLE,USER UNAVAILABLE
2,841755743493730305,Gg31974707,0
4,841735616530399233,Monicabandy4,0
5,841731647192092674,BruinsC11,0
7,841731852658475009,Grtrddccv1,0
9,841702963810844672,Toandangnguyen2,0
14,841682416183959552,Jay_E_Litman,0
16,841652550394867712,stareaterpeter,0
22,841506941620830209,Marcusm89608092,0
23,841506835177824256,Lolol55132884,0
24,841503593953927169,Jeff86196808,0
25,840744361809833987,redder_melissa,0
26,3399476746,chenchjefe,0
31,841462984346107904,ladydijacobs,0
37,841446332481040384,ChristianWenze5,0
38,841433901268627461,Amelkovacevic4,0
40,841356193092128773,heritiernziton1,0
44,841399178693505025,Jeanettevisser8,0
46,841387691451248640,maritza17her,0
50,841351472403120129,LaOhFoe04,0
56,841315588488204288,DanEric51470051,0
61,841205735254048768,Jahaira62479335,0
64,841160548624543744,John51298343,0
67,841142363087081472,Spencerphipps5,0
68,841137671032381440,CalebVandenbro2,0
70,841119480143060993,RobertM71860119,0
71,841113135457157121,yourchedderfell,0
72,841107254384418816,TroupeRandall,0
73,841097243138625536,james41263772,0
74,841091829206413312,Victori07488082,0
75,841073128998498305,Calebraven3,0
79,821507557198012416,hunter3german,0
80,841051684658900993,Littlemix12347,0
84,841026144208076800,lemonlulu_lulu,0
86,841003285855260675,hehshshshs8,0
87,841002045553442816,Efrain00_glo,0
88,840992406606622720,bryce_sakkala,0
89,2367620484,4markhughes,0
92,840956361898901505,Elyse24962289,0
94,794672785381593088,kara_H07,0
95,840928715831939072,Zara19910,0
97,840819278517534720,jason_riddering,0
101,840760065602789377,OtmNano,0
104,840695778695872512,JaylinJ57538006,0
106,840653996457091072,WillWil37196492,0
108,840651761354436608,Bbcgg4,0
114,840588302927425537,m_slubo,0
115,840587693746712581,pebbles_roxanne,0
121,840443125445328896,KarinGoebel,0
135,840327867414253568,John97108590,0
138,840314321951444999,George22450797,0
140,840302030015070208,Nutneze,0
149,840188210944856065,Oliver48711774,0
152,840066221043142657,fmjdidid1,0
153,840059443295404032,BiancaE95398303,0
158,835156519624716288,shafer_hailey,0
160,839970306374729749,ErnestMcCombs1,0
167,839774524233121796,Yr68886976,0
168,839697972036321280,GeddaPer,0
174,839639614818291716,kaileypn,0
180,839610734170501121,John66756803,0
182,839601677900533760,Veronic89507057,0
184,839590408241967107,HajajsShhsnx,0
185,839573389882843136,naannsndn1,0
191,839474723071356928,bbymommas,0
195,839320633888497664,KtMMThang1,0
199,2740988511,CorettiJerre,0
201,839308382406344704,JimmyBolen88,0
204,839257890829410304,JeffDodd15,0
205,839251154693312512,Evelingramajor2,0
206,839250202515005440,Michatodd8,0
207,839247440243011584,Ballerfaller511,0
208,839246169939173376,MichelJeanne5,0
216,839150948547178498,joe83883822,0
220,839124580841095168,Miadubois4,0
227,838885521636065281,JessieT198,0
232,838864658090065922,juju37950450,0
236,838846875390246912,JeromeJ60066048,0
237,838842034555404291,bsvsjga,0
242,838817882381434880,whttop75,0
243,838770750861557760,KaylorVoutsas,0
251,838616693014474752,MikeDelfinojp2,0
254,838596446739922944,hhgghjkk1,0
255,838589945866416130,Asiajam40011281,0
257,838567891695972353,JeremyN4201,0
259,838549309809283072,baby_girlll_sla,0
261,838538789375074304,papavberg,0
264,838491017976369154,GilliBabette,0
265,838491821701476352,123123yolo11111,0
270,766718855918018560,ManiacTurtel,0
275,838438708135280641,Bitch84417801,0
278,838412105598578689,kittyisay,0
283,838343511506358272,nienhuis_todd,0
287,838272345634668544,EddieTyrese16,0
288,838273519851081728,Emmanue80973339,0
289,838265379621318656,Market_Pioneers,0
290,838259765574778882,Jehrgeg1,0
294,838170555111063552,lillehhx,0
295,838169172119015424,Kam23557997,0
299,838124616023322624,MollyCa18179851,0
308,838024936786579456,Jaredsteimer1,0
312,837904190802440194,Behebe4,0
313,837902974701576192,Posner11girl,0
317,837861731812552704,Christo29686458,0
320,837847824477847552,Jenna35553007,0
321,837833379361996800,Dickpicsfre8352,0
322,837827528291139585,BearingJohn,0
324,837806086111424512,rottenrolley,0
330,837767828254052352,Robertg97526153,0
333,837752845776601096,Angelaw54928037,0
340,837688760032702465,VictorR37890431,0
350,837475484757856256,EPlouhar,0
354,837457716901728256,sdgfdsfgsdfg,0
358,837417689660461057,nlke21,0
359,837414703307567105,DanHall02249320,0
360,837407289715933186,Tdrth1,0
362,837404594636472323,rashid_iyana,0
364,837357553059147776,Mayreza9,0
366,837346778898911232,Tommac682,0
372,837217007661641728,Jhon049023991,0
376,837147785417932800,ionicbondz,0
377,242926974,dhaags91,0
379,837137682916573185,305Colby,0
380,837131753978531842,Shawndunigan2,0
382,837129106529615872,vanessareilly_,0
391,837062451426385920,CarolClaflin8,0
409,836860624340676609,hhgnjcxjj,0
410,836860272379838464,msdnnx,0
414,836810837029449728,Brittne56638415,0
415,88687102,gazelle47,0
416,836795796356022274,Kdotfilmz1,0
423,836751836086423552,Brandon89734308,0
425,836743731302793216,Markwar22555030,0
430,836715914942902276,chewbacca2580,0
433,836694718901813248,Hannahb0409,0
435,836690639056142336,hazmatclipz,0
436,836683224134856705,ELIJAH43242137,0
444,836588168484900866,FinacialPlaning,0
448,836445088289021953,Blusoe5,0
449,836441039732883456,Blusoe3,0
454,836396006245818368,Ceecee00565989,0
464,836348073412558848,Cnckck2,0
471,836282604735328264,TamaraKruse,0
473,836278608129896448,Hunterpell420,0
477,836120988769267712,Juansan29731818,0
488,836053650531299328,hayley_getz,0
489,796056772410769412,graceboundtv,0
494,836012059385036800,KimCole93209612,0
495,835995074328657922,Elijah07300586,0
498,835976016271196160,AzariahWhite,0
503,835934076808802304,Yolome23,0
508,835885735068712960,Carlos23626720,0
513,835757019621634048,WhiteNerdyGame1,0
520,835699746002063360,EdwinaMeyer23,0
522,835679479615918080,pan_boi,0
523,835678055716777986,CelineCich,0
527,835639639117598720,smartypants4192,0
534,835619897170411520,JamesJo22479493,0
537,835607728143937545,straleycaleb,0
562,835287975185494017,smittyboss360,0
564,835279851523289089,Faggo6,0
568,835261634272722944,beautifullyme_k,0
574,835241441265844229,Singlein616,0
591,835049939268849664,Psychosquall1,0
598,826410021718257664,OranRankin,0
601,834930619700379650,Mike80613060,0
606,834923377697619970,SchmittyJeager3,0
610,834892115826077696,ddeficient3,0
612,834873240011030528,JaileneHerrera1,0
620,824228927405260800,tramPauline_v,0
625,834584897729736704,Madison36463562,0
632,834512762105651201,Nhhhnn2,0
633,834507870578302980,dan_wieringa,0
641,834458628669206528,marsga_love,0
652,834255116786085888,KaseyMaria2,0
666,834179008690524160,Niya10312012,0
675,834112060598390784,KnifeAndPhoenix,0
684,834067589731012608,LGod700,0
685,834065596681748480,LibdocMI,0
687,834049121904422912,GuyLeDouche11,0
691,833942760923082752,21_Noahs,0
692,833919094680330242,sefer_hana,0
694,833904470216024064,ClipzzFFA_,0
698,833877141360095233,Isk13874855,0
705,833851112553902080,zalpapubamus,0
713,833801057285312512,Anon65169195,0
719,833725315008520192,BobBlak62638724,0
720,833724450130518017,Balls02523409,0
724,833677801169551360,1738jc1,0
729,833556898536370177,JohnCreamer20,0
731,833539095527825408,Barbara96112418,0
735,833500046620495872,nancannc,0
739,833490089304920066,Hometown58,0
766,833227947540619264,ok789080,0
770,833158736243986432,Marvin95846626,0
777,833068243556397059,nicktran211,0
779,833057270325981184,SuperClaf,0
784,832948366497742849,jon_dyl,0
785,832826618007711746,G616Lorenzo,0
792,832790122387140608,Tom25776565,0
794,832773924391784449,SarahJa72961291,0
798,832758656198283264,stevenmaki7,0
800,832741032756260864,vince_lawson,0
802,832726340457492481,Toddy2324,0
805,832694477357658112,james_kragt,0
819,832467221809025024,Charlie36715849,0
825,2259304270,Gnick01,0
827,832398046864478208,SunnyboiHe93,0
828,832396238381252610,Brielle48739756,0
830,832383501118865408,luciamexicana,0
835,832362348593737728,Keilmonster,0
838,832358311630688256,Bzhzhz6,0
841,832344919847084032,jennakbenna,0
844,832324572787650561,DMuckleberry,0
861,832052425792045056,TylwrF,0
868,831968421352988678,johnmccilian,0
873,831940794693083137,jerry1522217,0
877,831889925691863041,TheRealGeektown,0
884,831741558437322753,KinBumble,0
885,831739866501226498,Hubby4u,0
887,831715291335892992,tafmedw49,0
888,792112148503666689,xiaomei31,0
889,831717736120250369,ASTomaselo,0
892,831684267600183296,LW_Adventures,0
893,831675873938046976,big_black_26,0
896,831662364445515777,makeuplover_2,0
906,831588279661244418,Francaruso3,0
924,831362293992681472,Leo71467104,0
940,831253164909293568,lanaohhhh,0
947,831204174746492928,JosephShultz10,0
956,831060995737006080,caine_curley,0
961,830999095426838529,JavierM68874505,0
974,830890687189176322,1813_520,0
985,830817000834396160,Aurorahispanic,0
1001,830627270700134402,Sarah30499089,0
1008,830528638944735239,BillAlflen,0
1010,830499581293105152,Jasminko18,0
1014,830438146785628162,GdjsJskskej,0
1015,830426264385310724,Stevenk72015624,0
1021,830282468146159617,Tylerharry10,0
1022,830265241338515456,Casseyreyes7,0
1027,830239405092769793,coolkylan360,0
1031,830202656765394944,bri_tijerinaa,0
1036,830179187910656000,trevsonn,0
1042,830117252884209664,haha6719,0
1049,830090814600708100,MaryRob4650177,0
1113,829878939258613760,TirenTyrese,0
1115,829878250306428930,eunicej76326340,0
1116,829877793664167936,mccorckel,0
1117,829877415350517760,mcnightti,0
1118,829876977683283969,TGilmoy,0
1119,829874480151396353,hienmeansaction,0
1120,829875917468139522,terryjo86392932,0
1121,829875553595432960,YousifYumadi,0
1122,829875182730883074,LamontYukie,0
1123,829874883404369921,RJuoel,0
1126,829872804430479361,Dakota_Burleson,0
1129,829863001788444672,EndingPolitics,0
1131,829855374731837440,Cat92636002,0
1137,829807433211973632,RachelK07207168,0
1144,829778037231255552,Taylorbabiie,0
1159,829543422453219332,hdthhdd,0
1160,829528103609327617,Bennie73330480,0
1161,829524661624926208,Johnwreck3,0
1162,829517224138391552,KristenBufe,0
1166,829489212474941446,KevinLo01894915,0
1167,829483399232495616,Taylor08986577,0
1172,829439556558610432,phyllis121046,0
1175,829423185342894081,Sophi93427963,0
1185,829382065951035397,Nhbr20s9,0
1194,829198586307018752,JoshuaBruggink,0
1200,829166913288798208,La_nena20178,0
1207,829145890434609153,AjL1754128,0
1208,829139407353573376,Wes22534025,0
1209,829120519354122241,dehydratedlemo,0
1211,829111791485587456,jenb3438,0
1241,828960859972108289,mary_73146,0
1247,823228127707013121,Brenskar86,0
1248,828828886091833344,AskMeAnything97,0
